iter	Logloss
0	0.6863135214
1	0.6806090902
2	0.6738190134
3	0.66654611
4	0.6600273951
5	0.6535182254
6	0.646402229
7	0.6402796025
8	0.6345735866
9	0.6287388596
10	0.6241700993
11	0.6189477321
12	0.6131458632
13	0.60778921
14	0.6034481159
15	0.5994716074
16	0.5954136366
17	0.5913357066
18	0.5872513862
19	0.5826974422
20	0.5792629011
21	0.5752057704
22	0.5710840947
23	0.5676956616
24	0.5631603776
25	0.5594103604
26	0.5548531639
27	0.5509628313
28	0.5469966599
29	0.5433634598
30	0.5394005275
31	0.5364282451
32	0.5330054191
33	0.5300395755
34	0.5260692246
35	0.5226343427
36	0.5194519466
37	0.5163741129
38	0.5131254427
39	0.5101071782
40	0.5072420024
41	0.5048806204
42	0.5021642322
43	0.4984315799
44	0.4954651615
45	0.4929979443
46	0.4903647746
47	0.4877552941
48	0.4850123795
49	0.4824236226
50	0.4801465681
51	0.4776473619
52	0.475516678
53	0.4725477698
54	0.4703011814
55	0.467871731
56	0.4648164395
57	0.4629500332
58	0.4598068616
59	0.4580911504
60	0.4554774734
61	0.4534715096
62	0.4511044668
63	0.4481421288
64	0.4461595233
65	0.4441460762
66	0.44230773
67	0.4399763995
68	0.4383272044
69	0.436535134
70	0.4346501879
71	0.4330606423
72	0.4313344677
73	0.4296082795
74	0.427595583
75	0.4261249856
76	0.423877295
77	0.4224562843
78	0.4204865005
79	0.4185679119
80	0.41671781
81	0.4141539593
82	0.4122353967
83	0.4106731738
84	0.4091125802
85	0.4075928426
86	0.4055538155
87	0.4038846193
88	0.4016409876
89	0.3995291147
90	0.3975990904
91	0.3961977603
92	0.3948435477
93	0.3936099827
94	0.3922290097
95	0.3907315375
96	0.3890789139
97	0.3877383338
98	0.3859932977
99	0.3846148018
100	0.3830051151
101	0.3819972871
102	0.3804430521
103	0.3792615506
104	0.3777138756
105	0.3764444376
106	0.3752336228
107	0.373535552
108	0.3723615066
109	0.3708520432
110	0.3699392012
111	0.3686665867
112	0.367181725
113	0.3660529443
114	0.364944053
115	0.3639616528
116	0.3625923138
117	0.3610222757
118	0.3596765673
119	0.3576945609
120	0.3559491971
121	0.3549636566
122	0.35388268
123	0.3528977469
124	0.351528677
125	0.3504034603
126	0.3491413787
127	0.3478614369
128	0.3467381938
129	0.3457760432
130	0.3445680617
131	0.3426529203
132	0.3417086903
133	0.3406943518
134	0.3393859903
135	0.3385480407
136	0.3374630509
137	0.3359979123
138	0.3350064442
139	0.3340003793
140	0.3329080182
141	0.3320336619
142	0.3311532403
143	0.3303643412
144	0.3295198793
145	0.3287184029
146	0.3280739581
147	0.3269933609
148	0.3259754727
149	0.3250197208
150	0.3234360493
151	0.3222759235
152	0.3213830882
153	0.3205824282
154	0.3199475771
155	0.3189986245
156	0.3180510447
157	0.3164910763
158	0.3158142978
159	0.3146799114
160	0.3137807619
161	0.312869205
162	0.3114764065
163	0.3106310075
164	0.309406595
165	0.3084924405
166	0.307700255
167	0.3070258719
168	0.3064050387
169	0.3055697113
170	0.3046947519
171	0.3037444854
172	0.302554032
173	0.3010611299
174	0.3004569987
175	0.2997564647
176	0.2988123864
177	0.2980433529
178	0.2966474604
179	0.2956507272
180	0.2948501886
181	0.2941020408
182	0.2930201099
183	0.2918604598
184	0.2906538254
185	0.2900217452
186	0.2891702465
187	0.2885368916
188	0.2877143326
189	0.2867526358
190	0.2859380843
191	0.2854825533
192	0.2847781067
193	0.2836700708
194	0.2829046889
195	0.2816321163
196	0.2807108095
197	0.2801446296
198	0.2793225563
199	0.2783525586
